t,o,h,l,c,v,g1.ADX
1662930000000,21628.3,21734.5,21450.0,21502.7,26500.254,24.01635515200838
1662933600000,21502.8,21678.0,21502.7,21629.9,20577.803,23.598173519560216
1662937200000,21629.9,21848.8,21572.1,21820.3,19345.903,24.26830140790042
1662940800000,21820.3,21849.7,21630.0,21632.0,26113.361,25.035043216447924
1662944400000,21632.0,22388.0,21560.7,22036.5,106747.704,27.4004773404243
1662948000000,22036.5,22093.2,21655.0,21759.9,56049.714,30.29582479186139
1662951600000,21760.0,21821.0,21540.0,21649.2,42170.125,32.04976220026307
1662955200000,21649.2,21737.9,21617.1,21706.9,14768.611,34.0654410309504
1662958800000,21706.9,21780.0,21661.4,21775.9,11769.644,35.572185294126534
1662962400000,21775.9,21837.9,21691.0,21810.1,14028.642,37.11163489867828
1662966000000,21810.1,22222.0,21792.4,22180.9,61005.3,38.97837370623433
1662969600000,22180.8,22321.0,22105.8,22222.5,50764.203,41.41111243873504
1662973200000,22222.6,22250.0,22111.2,22160.3,22980.258,43.67008411891426
1662976800000,22160.4,22219.0,21961.1,22148.0,38712.523,45.35936523355365
1662980400000,22148.0,22450.0,22096.8,22301.0,54078.283,47.14559945332168
1662984000000,22301.0,22426.5,22204.3,22346.3,33255.953,48.80424551453485
1662987600000,22346.3,22450.0,22270.0,22383.6,37012.593,50.15452390671486
1662991200000,22383.7,22471.0,22281.0,22304.6,36491.27,51.43624907720822
1662994800000,22304.6,22338.0,22003.9,22106.0,48211.004,49.37559507809783
1662998400000,22105.9,22268.1,22010.0,22209.9,39237.75,47.46213065035248
1663002000000,22209.9,22377.6,22133.3,22348.5,24836.17,46.84096823282645
1663005600000,22348.4,22409.6,22266.0,22390.3,19450.451,46.36223646361618
1663009200000,22390.2,22446.0,22346.5,22415.0,15808.902,45.900555693624774
1663012800000,22414.9,22474.0,22353.4,22395.8,21389.262,45.37962018007927
1663016400000,22395.9,22419.4,22244.0,22330.7,18091.259,42.418305706287946
1663020000000,22330.7,22394.1,22249.2,22312.3,15171.181,39.77574078845178
1663023600000,22312.2,22391.6,22300.8,22386.0,10457.769,37.32193050760391
1663027200000,22386.0,22440.0,22102.5,22205.3,37203.765,35.34879210505229
1663030800000,22205.4,22278.0,22144.0,22230.3,12767.079,35.683757967280336
1663034400000,22230.3,22266.8,22048.4,22248.0,24230.807,36.43469096532005
1663038000000,22247.9,22272.0,22150.8,22225.7,9800.01,37.341410690889134
1663041600000,22225.7,22360.0,22172.8,22277.7,18070.293,37.45474024884681
1663045200000,22277.7,22424.0,22260.7,22378.2,15680.108,35.154066139213974
1663048800000,22378.2,22659.9,22236.0,22309.0,50512.3,34.03771086410859
1663052400000,22309.1,22435.1,22252.8,22267.8,29673.612,32.29608993961136
